permitnumber,permittype,permitdescription,typeofwork,approvedscopeofwork,status,commercialorresidential,address,zip,council_district,contractorname,contractoraddress1,contractorcity,contractorstate,contractorzip,opa_owner,permitissuedate,matched_trades
ZP-2026-009524,Zoning,Zoning Permit,Change of Use,Child Care - Child Care Center,Issued,Commercial,4087 1/2 LANCASTER AVE,19104-1747,3,,,,,,JN REALTY CORP INC,2026-09-24T18:46:36Z,commercial_fitout
ZP-2026-009660,Zoning,Zoning Permit,Change of Use,Limited Lodging,Issued,Residential,742 RODMAN ST,19147-1324,1,,,,,,TUPCHONG LESLIE,2026-09-24T18:34:17Z,commercial_fitout
ZP-2026-009521,Zoning,Zoning Permit,Change of Use,Residential - Household Living - Two-Family,Issued,Residential,875 N 47TH ST,19139-1850,3,MWMT Co.,"MWMT Co.
7201 Frankford Avenue
1060
Philadelphia, PA  19135
USA",,,,WHITFIELD WAYNE ARNOLD,2026-09-24T18:23:00Z,commercial_fitout
ZP-2026-009428,Zoning,Zoning Permit,Change of Use,Limited Lodging,Issued,Residential,204 S DELHI ST,19107-6305,1,,,,,,239-41 S 10TH ST LLC,2026-09-24T18:02:30Z,commercial_fitout
ZP-2026-009647,Zoning,Zoning Permit,Change of Use,Residential - Household Living - Two-Family,Issued,Residential,4422 LARCHWOOD AVE,19104-3916,3,FAB RENOVATIONS,"FAB RENOVATIONS
5441 SPRINGFIELD AVE
Philadelphia, PA  19143
USA",,,,"HIGGINS PADHRAIG, WATERMAN CARRIE",2026-09-24T14:19:39Z,commercial_fitout
ZP-2026-009431,Zoning,Zoning Permit,Change of Use,Residential - Household Living - Two-Family,Issued,Residential,281 COBBS CREEK PKWY,19139,3,,,,,,FUNCHES JOANNE,2026-09-24T12:17:48Z,commercial_fitout
ZP-2026-009483,Zoning,Zoning Permit,Change of Use,"Retail Sales - Consumer Goods; Retail Sales - Food, Beverages, and Groceries",Issued,Commercial,17-19 N 2ND ST,19106-2214,1,,,,,,F & F REAL ESTATE PARTNER NO1 LP,2026-09-24T10:15:49Z,commercial_fitout
CP-2026-005081,Building,Commercial Building Permit,Addition and/or Alteration,"FOR LEVEL II INTERIOR ALTERATIONS WITHOUT A CHANGE TO EXISTING GROUP B FINANCIAL SERVICES USE & OCCUPANCY AT THE 1ST FLOOR. EXISTING BUILDING IS FULLY SPRINKLERED. ALL WORK TO BE DONE PER APPROVED PLANS AND IN ACCORDANCE WITH 2021 IEBC. SEPARATE PERMITS REQUIRED FOR MECHANICAL, ELECTRICAL, PLUMBING, AND FIRE SUPPRESSION WORK.",Issued,Commercial,1500S-40 JOHN F KENNEDY BLVD,19102-1710,5,VERICON CONSTRUCTION CO LLC,"VERICON CONSTRUCTION CO LLC
1063 ROUTE 22 EAST
MOUNTAINSIDE, NJ  07092
USA",,,,"CITY OF PHILA, DEPT OF PUBLIC PROP",2026-09-24T04:00:00Z,commercial_fitout
CP-2026-004381,Building,Commercial Building Permit,Commercial Make Safe Permit,MAKE SAFE PERMIT TO COMPLY WITH CF-2026-032711 TO INCLUDE PARTIAL DEMOLITION AND REPAIRS/REPLACEMENT OF EXTERIOR WALLS AND FRAMING PER APPROVED PLANS AND IN ACCORDANCE WITH CODE BULLETIN PM-1801.  LICENSED PA PROFESSIONAL ENGINEER IS REQUIRED TO MONITOR REPAIRS MADE UNDER THIS PERMIT.  THE ENGINEER MUST SUBMIT A SEALED STATEMENT TO THE DEPARTMENT CONFIRMING THAT THE STRUCTURE IS IN SOUND CONDITION AT COMPLETION.  SEPARATE PERMITS REQUIRED FOR ADDITIONAL ALTERATIONS NOT ADDRESSED IN APPROVED PLANS. ,Issued,Commercial,2945-47 N 5TH ST,19133-2802,7,Sister Brown Contracting LLC,"Sister Brown Contracting LLC
5937 Lawndale St
Philadelphia, PA  19120
USA",,,,VALLE EVELY DEL,2026-09-24T04:00:00Z,demolition;commercial_fitout
PP-2026-012047,Plumbing,Plumbing Permit,Alterations,"ALTERATIONS TO 2ND FLOOR OF EXISTING COMMERCIAL BUILDING. INTERIOR INSTALLATION OF DRAINAGE, WASTE, VENT, AND WATER SUPPLY FOR LISTED FIXTURES. ALL MATERIALS SHALL BE METALLIC TO ROOF EXTENSION. VENTING TO BE DESIGNED AND INSTALLED IN ACCORDANCE WITH SECTION 919 PHILADELPHIA SINGLE STACK VENT SYSTEM. ALL WORK TO BE INSTALLED IN STRICT COMPLIANCE WITH 2021 PPC AND APPROVED PLANS",Issued,Commercial,2400-14 KENSINGTON AVE,19125-1223,7,EXCEL PLUMBING HEATING & AC INC,"EXCEL PLUMBING HEATING & AC INC
4923 NATIONAL ST
PHILADELPHIA, PA  19135
USA",,,,BANTON ENTERPRISES LLC,2026-09-24T04:00:00Z,roofing;commercial_fitout
CP-2026-004318,Building,Commercial Building Permit,Addition and/or Alteration,"FOR LEVEL II INTERIOR ALTERATIONS (STARBUCKS TENANT FIT-OUT) AT KIOSK / SPACE B1452 WITHOUT A CHANGE IN USE OR OCCUPANCY CLASSIFICATION. EXISTING BUILDING IS FULLY SPRINKLERED. ALL WORK TO BE DONE PER APPROVED PLANS AND IN ACCORDANCE WITH 2021 IEBC AND PHC APPROVAL. SEPARATE PERMITS REQUIRED FOR MECHANICAL, ELECTRICAL, PLUMBING, AND FIRE SUPPRESSION WORK.",Issued,Commercial,1 N 30TH ST,19104,3,INTECH CONSTRUCTION LLC,"INTECH CONSTRUCTION LLC
3020 MARKET ST
6TH FLR
PHILADELPHIA, PA  19104
USA",,,,AMTRAK,2026-09-24T04:00:00Z,commercial_fitout
EP-2026-008684,Electrical,Electrical Permit,Addition and/or Alteration,"Replace existing fire alarm devices as part of a commercial office tenant fit-out. Provide all associated fire alarm wiring, connections and modules.

All work shall be performed in accordance with 2016 NFPA 72, the 2017 NEC and per approved plans.",Issued,Commercial,2000-24 MARKET ST,19103-3304,5,SHORELINE ELECTRIC INC,"SHORELINE ELECTRIC INC
90 JANSEN AVE
ESSINGTON, PA  19029
USA",,,,2000 MARKET LLC,2026-09-24T04:00:00Z,commercial_fitout
CP-2026-005004,Building,Commercial Building Permit,Addition and/or Alteration,FOR  STRUCTURAL REPAIRS TO AN EXISTING STRUCTURE.  ALL WORK TO BE DONE PER APPROVED PLANS.** IF FIELD CONDITIONS VARY CONTACT DESIGN ENGINEER PRIOR TO THE START OF ANY WORK**IEBC 2021** SEPARATE PERMITS REQUIRED FOR ALL OTHER WORK**,Issued,Commercial,306-20 N BROAD ST,19102-1110,5,WATTS RESTORATION CO INC,"WATTS RESTORATION CO INC
1704 Bustleton Pike
Feasterville, PA  19053
USA",,,,PHILADELPHIA PARKING AUTHORITY,2026-09-24T04:00:00Z,commercial_fitout
CP-2026-002309,Building,Commercial Building Permit,Addition and/or Alteration,"FOR LEVEL II INTERIOR ALTERATIONS TO TWO (2) DWELLING UNITS AT THE 3RD AND 4TH FLOORS WITH ADDITIONAL LIMITED STRUCTURAL WORK AT THE 1ST AND 2ND FLOORS WITHOUT A CHANGE TO EXISTING GROUP R-2 MULTI-FAMILY USE AND OCCUPANCY CLASSIFICATION. BUILDING IS NOT SPRINKLERED. ALL WORK TO BE DONE PER APPROVED PLANS AND IN ACCORDANCE WITH 2018 IEBC AND PHC APPROVAL. SEPARATE PERMITS REQUIRED FOR MECHANICAL, ELECTRICAL, AND PLUMBING WORK.
**PHC APPROVAL CONDITION: No exterior work to facades along Spruce St and S. 10th St. permitted as part of this permit.**",Issued,Commercial,1000 SPRUCE ST,19107-6009,1,Datsun LLC,"Datsun LLC
822 Pine Street
Philadelphia, PA  19107
USA",,,,1000 SPRUCE STREET LLC,2026-09-24T04:00:00Z,commercial_fitout
