permitnumber,permittype,permitdescription,typeofwork,approvedscopeofwork,status,commercialorresidential,address,zip,council_district,contractorname,contractoraddress1,contractorcity,contractorstate,contractorzip,opa_owner,permitissuedate,matched_trades
ZP-2026-009113,Zoning,Zoning Permit,"New construction, addition, GFA change",For the demolition of two (2) detached structures. Size and location as shown in plan.,Issued,Commercial,2200 JEFFERSON ST,19121-3928,5,GEPPERT BROS INC,"GEPPERT BROS INC
3101 TREWIGTOWN ROAD
COLMAR, PA  18915
USA",,,,PHILADELPHIA HOUSING AUTH,2026-09-24T20:16:32Z,demolition;new_construction
ZP-2026-008733,Zoning,Zoning Permit,"New construction, addition, GFA change","FOR COMPLETE DEMOLITION OF THE EXISTING STRUCTURE (REMOVAL OF MORE THAN 2/3 OF EXISTING STRUCTURAL FRAMING) AND FOR THE ERECTION OF AN ATTACHED STRUCTURE WITH 8'-0"" 3RD STORY FRONT SETBACK, ROOF DECK, AND ROOF DECK ACCESS STRUCTURE. SIZE AND LOCATION AS SHOWN ON PLANS.",Issued,Residential,542 TREE ST,19148-5732,1,ALFA ENGINEERING INC,"ALFA ENGINEERING INC
1444 S 13
PHILADELPHIA, PA  19147
USA",,,,2301 S BONSALL ST LLC,2026-09-24T14:27:37Z,pool_deck_fence;demolition;new_construction
CP-2026-004381,Building,Commercial Building Permit,Commercial Make Safe Permit,MAKE SAFE PERMIT TO COMPLY WITH CF-2026-032711 TO INCLUDE PARTIAL DEMOLITION AND REPAIRS/REPLACEMENT OF EXTERIOR WALLS AND FRAMING PER APPROVED PLANS AND IN ACCORDANCE WITH CODE BULLETIN PM-1801.  LICENSED PA PROFESSIONAL ENGINEER IS REQUIRED TO MONITOR REPAIRS MADE UNDER THIS PERMIT.  THE ENGINEER MUST SUBMIT A SEALED STATEMENT TO THE DEPARTMENT CONFIRMING THAT THE STRUCTURE IS IN SOUND CONDITION AT COMPLETION.  SEPARATE PERMITS REQUIRED FOR ADDITIONAL ALTERATIONS NOT ADDRESSED IN APPROVED PLANS. ,Issued,Commercial,2945-47 N 5TH ST,19133-2802,7,Sister Brown Contracting LLC,"Sister Brown Contracting LLC
5937 Lawndale St
Philadelphia, PA  19120
USA",,,,VALLE EVELY DEL,2026-09-24T04:00:00Z,demolition;commercial_fitout
GM-2026-008248,General Permit Minor,General Permit Minor,EZ Interior Non-Load-Bearing Wall Demo.,"For minor construction work at the subject property in accordance with all applicable provisions of the Philadelphia Code, all references codes and standards, and the attached EZ Standard, where included. Deviation from this standard shall result in permit revocation. A separate permit from the Philadelphia Department of Streets is required for any sidewalk and street closures. All means of pedestrian protection required at the site in accordance with the Philadelphia Building Code Chapter 33 shall be in place prior to start of work.",Issued,Residential,5101 WAYNE AVE,19144-3525,8,,,,,,NINE BROTHERS INVESTMENT LLC,2026-09-24T04:00:00Z,demolition
RP-2026-010333,Residential Building,Residential Building Permit,Make Safe Permit For RP,"MAKE SAFE PERMIT TO PARTIALLY COMPLY WITH UNSAFE VIOLATION CF-2026-088986.  ALTERATIONS TO INCLUDE PARTIAL DEMOLITION, TEMPORARY ENCLOSURE WALL, MASONRY RESTORATION, JOIST REPLACEMENT AND FRONT PORCH REPAIRS PER APPROVED PLANS, ENGINEER'S REPORT AND IN ACCORDANCE WITH CODE BULLETIN PM-1801.  LICENSED PA PROFESSIONAL ENGINEER IS REQUIRED TO MONITOR REPAIRS MADE UNDER THIS PERMIT.  THE ENGINEER MUST SUBMIT A SEALED STATEMENT TO THE DEPARTMENT CONFIRMING THAT THE STRUCTURE IS IN SOUND CONDITION AT COMPLETION.  ",Issued,Residential,2108 W TORONTO ST,19132-1542,8,Rories' At Work,"Rories' At Work
309 W Albanus
Philadelpia, PA  19120
USA",,,,"HILL TYRONE, HILL BERESTINE E",2026-09-24T04:00:00Z,demolition
RP-2026-008810,Residential Building,Residential Building Permit,Make Safe Permit For RP,"MAKE SAFE PERMIT TO COMPLY WITH CF-2026-005096 TO INCLUDE PARTIAL DEMOLITION AND THE REPAIRS/REPLACEMENT TO FRONT PORCH, MAIN ROOF AND FRAMING PER APPROVED PLANS AND IN ACCORDANCE WITH CODE BULLETIN PM-1801.  LICENSED PA PROFESSIONAL ENGINEER IS REQUIRED TO MONITOR REPAIRS MADE UNDER THIS PERMIT.  THE ENGINEER MUST SUBMIT A SEALED STATEMENT TO THE DEPARTMENT CONFIRMING THAT THE STRUCTURE IS IN SOUND CONDITION AT COMPLETION.  SEPARATE PERMITS REQUIRED FOR ADDITIONAL ALTERATIONS NOT ADDRESSED IN APPROVED PLANS. ",Issued,Residential,308 W WELLENS ST,19120-3333,8,Non-Stop Emergency Services Inc,"Non-Stop Emergency Services Inc
100 Beecher Avenue 
Cheltenham, PA  19012
USA",,,,SMITH GREGORY DAVID,2026-09-24T04:00:00Z,roofing;demolition
DP-2026-000988,Demolition,Demolition Permit,Minor Demolition,"FOR THE COMPLETE DEMOLITION OF A ONE (1) STORY DETACHED STRUCTURE. DEMOLITION TO BE DONE WITH MECHANICAL DEMOLITION EQUIPMENT. ALL PERMITTED DEMOLITION ACTIVITY TO BE IN ACCORDANCE WITH APPROVED SITE SAFETY DEMOLITION PLAN AND SUCH PLAN TO BE MAINTAINED ON SITE AT ALL TIMES IN ACCORDANCE WITH PHILADELPHIA ADMINISTRATIVE CODE. ANY DEVIATION WILL REQUIRE AN AMENDED BUILDING PERMIT. 21 DAY POSTING & NOTICE REQUIRED PER A-303.2. **DUST CONTROL MEASURES TO BE UTILIZED. ** 
*FOUNDATIONS AND SLAB TO BE REMOVED AND SITE BACKFILLED IN ACCORDANCE WITH B-3303.12 OF THE PHILADELPHIA BUILDING CODE.* 
*PROTECTION OF PEDESTRIANS, PUBLIC RIGHT-OF-WAY, AND ADJACENT PROPERTIES TO BE IN PLACE PRIOR TO START OF WORK.*
*SEPARATE STREETS DEPARTMENT APPROVAL REQUIRED FOR RIGHT-OF-WAY ENCROACHMENT OR CLOSURE. * ",Issued,Commercial,2235-51 STEWART ST,19121-3972,5,GEPPERT BROS INC,"GEPPERT BROS INC
3101 TREWIGTOWN ROAD
COLMAR, PA  18915
USA",,,,,2026-09-24T04:00:00Z,demolition
DP-2026-000932,Demolition,Demolition Permit,Minor Demolition,"COMPLETE DEMOLITION OF AN EXISTING SEMI-DETACHED (PARKING LOT ON ONE SIDE) THREE-STORY, MASONRY AND WOOD COMMERCIAL BUILDING BY HAND METHODS. ALL PERMITTED DEMOLITION ACTIVITY TO BE IN ACCORDANCE WITH APPROVED SITE SAFETY DEMOLITION PLAN & SUCH PLAN TO BE MAINTAINED ON SITE AT ALL TIMES IN ACCORDANCE WITH PHILADELPHIA ADMINISTRATIVE CODE. COMPLETE SIDEWALK CLOSURE REQUIRED IN ACCORDANCE WITH SECTION 3306 OF THE IBC. SEPARATE STREET CLOSURE PERMIT REQUIRED PRIOR TO START OF WORK. ANY DEVIATION WILL REQUIRE AN AMENDED BUILDING PERMIT.",Issued,Commercial,4029 LANCASTER AVE,19104-1711,3,DEMOLAB & CONSTRUCTION,"DEMOLAB & CONSTRUCTION
1420 W ERIE AVE
PHILADELPHIA, PA  19140
USA",,,,AKM ESTATES LLC,2026-09-24T04:00:00Z,demolition;commercial_fitout
CP-2025-006008,Building,Commercial Building Permit,Addition and/or Alteration,FOR THE PARTIAL DEMOLITION AND INSTALLATION OF PLAYGROUND EQUIPMENT AND FURNISHINGS. AS PER APPROVED PLANS.,Issued,Commercial,5100 PINE ST,19143,3,BUZZ BURGER INC.,"BUZZ BURGER INC.
500 S Whitehorse Rd
Phoenixville, PA  19460-2573
USA",,,,"CITY OF PHILA, BLACK OAK PARK",2026-09-24T04:00:00Z,demolition;commercial_fitout
GM-2026-008192,General Permit Minor,General Permit Minor,EZ Interior Non-Load-Bearing Wall Demo.,EZ INTERIOR NON-LOAD-BEARING WALL DEMOLITION - For the interior demolition on NON-Load-Bearing partition walls and ceilings as per attached standard. Deviations from these standards require submission of construction and site plans.,Issued,Residential,2251 S BUCKNELL ST,19145-3212,2,,,,,,SMITH ANNAMARIE,2026-09-23T04:00:00Z,demolition
