permitnumber,permittype,permitdescription,typeofwork,approvedscopeofwork,status,commercialorresidential,address,zip,council_district,contractorname,contractoraddress1,contractorcity,contractorstate,contractorzip,opa_owner,permitissuedate,matched_trades
MP-2026-005206,Mechanical,Mechanical / Fuel Gas Permit,New Construction,"EZ PERMIT DUCTWORK & WARM-AIR APPLIANCES - For the installation of New Ductwork, Registers/Grilles/Diffusers, and Warm-Air Appliances as per attached standards. Deviations from these standards require submission of construction and site plans. 

Install a 2.5 ton heat pump system, ductwork, and 13 diffusers",Issued,Residential,1026-36 FAIRMOUNT AVE,19123-1901,5,Sanks Mechanical,"Sanks Mechanical
13451 Damar Dr
Suite Jk
Philadelphia, PA  19116
USA",,,,,2026-09-24T04:00:00Z,hvac;new_construction
MP-2026-004993,Mechanical,Mechanical / Fuel Gas Permit,New Construction,"EZ PERMIT DUCTWORK & WARM-AIR APPLIANCES - For the installation of New Ductwork, Registers/Grilles/Diffusers, and Warm-Air Appliances as per attached standards. Deviations from these standards require submission of construction and site plans. 

3 ton air handler, 3 ton heat pump,  ductwork, and 7 registers",Issued,Residential,700 S WARNOCK ST,19147-1944,2,GENERATION 3 ELECTRIC INC,"GENERATION 3 ELECTRIC INC
1257 S 26 STREET 
PHILADELPHIA , PA  19146
USA",,,,DUDA LILLIAN,2026-09-24T04:00:00Z,hvac;new_construction
MP-2026-005365,Mechanical,Mechanical / Fuel Gas Permit,Addition and/or Alterations,"EZ PERMIT DUCTWORK & WARM-AIR APPLIANCES - For the installation of New Ductwork, Registers/Grilles/Diffusers, and Warm-Air Appliances as per attached standards. Deviations from these standards require submission of construction and site plans. 

Install 60K BTU furnace, 2.5 ton AC, ductwork, and 10 registers",Issued,Residential,2537 E MADISON ST,19134-5244,6,"East Philly Plumbing & Heating, LLC","East Philly Plumbing & Heating, LLC
3138 aramingo avenue
philadelphia, PA  19134
USA",,,,EAST PHILLY HOMES LLC,2026-09-24T04:00:00Z,hvac
MP-2026-005419,Mechanical,Mechanical / Fuel Gas Permit,Addition and/or Alterations,"EZ PERMIT DUCTWORK & WARM-AIR APPLIANCES - For the installation of New Ductwork, Registers/Grilles/Diffusers, and Warm-Air Appliances as per attached standards. Deviations from these standards require submission of construction and site plans. 

Install 2 zone mini-split system in insulated conditioned attic. 12K btu high-wall mini-split indoor unit serving attic area, 18K btu ducted unit serving third floor with all ducts located in conditioned space. Both units connect to a single 30K btu condenser, located on roof.",Issued,Residential,4706 CHESTER AVE,19143-3513,3,Progressive Heating & Air Conditioning LLC,"Progressive Heating & Air Conditioning LLC
3810 Sharp Street
Philadelphia, PA  19127
USA",,,,"ENGEL DAVID, ENGEL FRANCESCA",2026-09-24T04:00:00Z,hvac
MP-2026-005454,Mechanical,Mechanical / Fuel Gas Permit,Addition and/or Alterations,"EZ PERMIT DUCTWORK & WARM-AIR APPLIANCES - For the installation of New Ductwork, Registers/Grilles/Diffusers, and Warm-Air Appliances as per attached standards. Deviations from these standards require submission of construction and site plans. 

Replace existing boiler only, in like and kind, using existing piping/ ductwork in the basement",Issued,Residential,912 ATWOOD RD,19151-3308,4,"Red Line Construction, LLC","Red Line Construction, LLC
25 S Main St
46
Yardley, PA  19067
USA",,,,RIDLEY-FERGUSON SHERRICE,2026-09-24T04:00:00Z,hvac
MP-2026-005288,Mechanical,Mechanical / Fuel Gas Permit,Addition and/or Alterations,"EZ PERMIT DUCTWORK & WARM-AIR APPLIANCES - For the installation of New Ductwork, Registers/Grilles/Diffusers, and Warm-Air Appliances as per attached standards. Deviations from these standards require submission of construction and site plans. 

3 ton heat pump/ air handler, ductwork, and 10 diffusers",Issued,Residential,5858 N 6TH ST,19120-1303,9,Maryanne Haimovitch,"Maryanne Haimovitch
221 S State Rd
Upper Darby, PA  19082
USA",,,,"SERVANCE RONALD K, SERVANCE CAROLYN S",2026-09-24T04:00:00Z,hvac
MP-2026-005505,Mechanical,Mechanical / Fuel Gas Permit,Addition and/or Alterations,"EZ PERMIT DUCTWORK & WARM-AIR APPLIANCES - For the installation of New Ductwork, Registers/Grilles/Diffusers, and Warm-Air Appliances as per attached standards. Deviations from these standards require submission of construction and site plans. 

90% 80K BTU furnace, ductwork, and 8 diffusers",Issued,Residential,635 GERRITT ST,19147-5809,1,FLAMINGO SERVICES LLC,"FLAMINGO SERVICES LLC
720 Switchman Road
Media, PA  19063
USA",,,,COHEN MITCHELL,2026-09-24T04:00:00Z,hvac
MP-2026-005209,Mechanical,Mechanical / Fuel Gas Permit,Addition and/or Alterations,"FOR THE INSTALLATION OF REGISTERS, DIFFUSERS, AND APPLIANCES WITH ASSOCIATED DUCTWORK. APPLIANCES TO BE INSTALLED IN ACCORDANCE WITH MANUFACTURER'S SPECIFICATIONS. ALL WORK TO BE DONE PER APPROVED PLANS AND IN ACCORDANCE WITH 2021 IMC. IF FIELD CONDITIONS VARY CONTACT DESIGN ENGINEER PRIOR TO THE START OF ANY WORK. SEPARATE PERMITS REQUIRED FOR ALL OTHER WORK. ",Issued,Commercial,2513 FEDERAL ST,19146-3913,2,Blerton Islamaj,"Blerton Islamaj
7539 Calvert St
Philadelphia, PA  19152
USA",,,,1240 WEST RITNER ST LLC,2026-09-24T04:00:00Z,hvac
MP-2026-005503,Mechanical,Mechanical / Fuel Gas Permit,Addition and/or Alterations,"EZ PERMIT DUCTWORK & WARM-AIR APPLIANCES - For the installation of New Ductwork, Registers/Grilles/Diffusers, and Warm-Air Appliances as per attached standards. Deviations from these standards require submission of construction and site plans. 

90% 80K BTU furnace, ductwork, and 8 diffusers",Issued,Residential,1424 S HICKS ST,19146-4819,2,FLAMINGO SERVICES LLC,"FLAMINGO SERVICES LLC
720 Switchman Road
Media, PA  19063
USA",,,,PLATINUM ROOF PROPERTIES LLC,2026-09-24T04:00:00Z,hvac
MP-2026-005240,Mechanical,Mechanical / Fuel Gas Permit,Addition and/or Alterations,"EZ PERMIT DUCTWORK & WARM-AIR APPLIANCES - For the installation of New Ductwork, Registers/Grilles/Diffusers, and Warm-Air Appliances as per attached standards. Deviations from these standards require submission of construction and site plans. 

Install 2 ton 3 zone (9K, 9K, 6K) ductless mini split system. ",Issued,Residential,1251 S DOVER ST,19146-3619,2,PRECISION LLC,"PRECISION LLC
511 W HANSBERRY ST
3
PHILADELPHIA, PA  19144-4036
USA",,,,EDGE MARCIA M,2026-09-24T04:00:00Z,hvac
