permitnumber,permittype,permitdescription,typeofwork,approvedscopeofwork,status,commercialorresidential,address,zip,council_district,contractorname,contractoraddress1,contractorcity,contractorstate,contractorzip,opa_owner,permitissuedate,matched_trades
ZP-2026-009213,Zoning,Zoning Permit,Signs (Accessory / Non-Accessory),"FOR THE ERECTION OF ONE (1) WALL SIGN WITH STATICALLY ILLUMINATED LETTERS, ONE (1) NON-ILLUMMINATED WALL SIGN AND REPLACE TWO (2) PANELS OF EXISTING DOUBLE-FACED FREESTANDING SIGN. SIZE AND LOCATION AS SHOWN IN PLAN.",Issued,Commercial,2320-26 FAIRMOUNT AVE,19130-2519,5,FORMAN SIGN COMPANY INC,"FORMAN SIGN COMPANY INC
10447 DRUMMOND RD
PHILADELPHIA, PA  19146
USA",,,,FAIRMOUNT CVS PARTNERS,2026-09-24T16:58:03Z,signs
GP-2026-004977,General,General Permit,Sign,"FOR THE ERECTION OF TWO (2) STATIC ILLUMINATED WALL SIGNS ON AN EXISTING STRUCTURE AND TWO (2) STATIC ILLUMINATED FREESTANDING SIGNS. ALL WORK TO BE DONE PER APPROVED PLANS. IF FIELD CONDITIONS VARY CONTACT DESIGN ENGINEER PRIOR TO THE START OF ANY WORK. SEPARATE PERMITS REQUIRED FOR ALL OTHER WORK, INCLUDING ALL ELECTRICAL WORK.",Issued,Commercial,4109 WALNUT ST,19104-3510,3,,,,,,"CAMPUS REALTY, PROPERTIES V LP",2026-09-24T04:00:00Z,signs
EP-2026-006787,Electrical,Electrical Permit,Addition and/or Alteration,"Provide install (1) exit sign with double head remote and wiring.  Provide and install (1) Low Voltage double head remote and wiring. Electrical fit out for kitchen, per plans as per 2017 NEC.  Install fire alarm notification appliances and tie in kitchen hood as per 2016 NFPA 72.",Issued,Commercial,301 E GODFREY AVE,19120-1618,9,ECHO HOUSE GENERAL CONTRACTING LLC,"ECHO HOUSE GENERAL CONTRACTING LLC
4823 Baltimore Ave
Philadelphia, PA  19143
USA",,,,301 E GODFREY ASSOCIATES LLC,2026-09-24T04:00:00Z,kitchen_bath;signs
GP-2026-006489,General,General Permit,Sign,FOR THE REFACING OF EXISTING AWNING SIGNS. SIZE AND LOCATION AS SHOWN IN THE APPLICATION / PLANS.,Issued,Commercial,1928 S 9TH ST,19148-2349,1,,,,,,WANG MIAO,2026-09-24T04:00:00Z,signs
ZP-2026-008334,Zoning,Zoning Permit,Signs (Accessory / Non-Accessory),"FOR THE ERECTION OF FOUR (4) STATICALLY ILLUMINATED WALL SIGNS, ONE (1) NON-ILLUMINATED CLEARANCE SIGN, ONE (1) ORDER CANOPY WITH LED LIGHT (CLEARANCE SIGN), REPLACE TWO (2) PANELS WITH NEW SIGNS AND REPLACE TWO (2) LOWER PANELS WITH NO COPY ON EXISTING DOUBLE SIDED FREESTANDING SIGN AND INSTALL ONE (1) PICK UP WINDOW CANOPY WITH NO COPY. SIZE AND LOCATION AS SHOWN IN PLAN.",Issued,Commercial,8764 FRANKFORD AVE,19136-1315,6,EZ SIGNS & SERVICES LLC,"EZ SIGNS & SERVICES LLC
1839 Bustleton Pike
Feasterville-Trevose, PA  19053
USA",,,,8764 FRANKFORD INC,2026-09-23T15:06:00Z,signs
ZP-2026-009302,Zoning,Zoning Permit,Signs (Accessory / Non-Accessory),FOR THE ERECTION OF ONE (1) ACCESSORY DOUBLE-FACED PROJECTING SIGN. SIZE AND LOCATION AS SHOWN IN PLANS.,Issued,Commercial,833 MARKET ST,19107-2100,1,EZ SIGNS & SERVICES LLC,"EZ SIGNS & SERVICES LLC
1839 Bustleton Pike
Feasterville-Trevose, PA  19053
USA",,,,PR GALLERY I LIMITED PARTNERSHIP,2026-09-23T14:23:33Z,signs
GP-2026-007783,General,General Permit,Sign,FOR ERECTION OF ONE (1) ILLUMINATED ACCESSORY FLAT WALL SIGN ON EXISTING STRUCTURE. SIZE AND LOCATION AS SHOWN ON THE APPLICATION / PLAN. **SEPARATE PERMITS TO BE OBTAINED FOR ALL ELECTRICAL WORK.**,Issued,Commercial,2281 OREGON AVE,19145-4241,2,,,,,,CEDAR-SOUTH PHILADELPHIA,2026-09-23T04:00:00Z,signs
GP-2026-007195,General,General Permit,Sign,FOR THE ERECTION OF ONE (1) NON-ILLUMINATED ACCESSORY WALL SIGN.,Issued,Commercial,1733 SOUTH ST,19146-1528,2,,,,,,UNTERMEYER MICHAEL,2026-09-23T04:00:00Z,signs
GP-2026-007248,General,General Permit,Sign,"FOR THE INSTALLATION OF TWO (2) STATICALLY ILLUMINATED WALL SIGN. AS PER APPROVED PLANS.
******SEPARATE ELECTRICAL PERMIT REQUIRED. *************",Issued,Commercial,3200 RED LION RD,19114-1109,10,,,,,,ACADEMY PLAZA L L C 1,2026-09-23T04:00:00Z,signs
GP-2026-006856,General,General Permit,Sign,FOR THE INSTALLATION OF ONE (1) NON-ILLUMINATED WALL SIGN. SIZE AND LOCATION AS SHOWN IN APPLICATION/PLANS. SIGN ACCESSORY TO A WAREHOUSE.,Issued,Commercial,6310 W PASSYUNK AVE,19153-3517,2,,,,,,BP POINT BREEZE LLC,2026-09-22T04:00:00Z,signs
